               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071978,            0.023883,            0.032164,              0.4307,             0.62853,             0.55495,             0.26518,            0.041822,           0.0087056,            0.015586,            0.070101,           0.0033221,           0.0033221
                   1,            0.048861,            0.015106,            0.011342,             0.67531,             0.72565,             0.72423,             0.41135,            0.037894,           0.0065752,            0.010696,            0.040035,           0.0065896,           0.0065896
                   2,              0.0447,            0.012577,           0.0076329,             0.66891,             0.72994,             0.73988,             0.38248,            0.038924,           0.0060482,           0.0065703,           0.0099032,            0.009791,            0.009791
                   3,            0.038841,            0.011461,           0.0067807,             0.82101,             0.80885,             0.87303,             0.55838,            0.029879,           0.0061707,           0.0065392,            0.009703,            0.009703,            0.009703
                   4,            0.035925,            0.010965,           0.0061967,             0.84301,             0.78436,             0.88633,             0.59279,            0.027842,            0.005625,           0.0062915,            0.009703,            0.009703,            0.009703
                   5,            0.033945,            0.010621,           0.0050922,             0.85445,             0.79454,             0.85632,             0.57754,            0.026748,           0.0059131,             0.00854,            0.009604,            0.009604,            0.009604
                   6,            0.032381,            0.010344,           0.0044815,             0.90802,             0.85377,             0.93053,             0.64804,            0.024974,           0.0051561,           0.0029821,            0.009505,            0.009505,            0.009505
                   7,            0.030525,           0.0098716,           0.0039597,             0.90219,             0.84836,             0.90947,             0.63143,            0.024834,           0.0052586,           0.0037634,            0.009406,            0.009406,            0.009406
                   8,             0.02959,           0.0099374,           0.0034583,             0.90611,             0.87907,              0.9186,             0.64664,            0.024627,            0.005225,           0.0028185,            0.009307,            0.009307,            0.009307
                   9,            0.028573,           0.0097714,           0.0035904,             0.88804,             0.90921,              0.9466,             0.65275,            0.023766,           0.0049233,           0.0032092,            0.009208,            0.009208,            0.009208
                  10,            0.027916,           0.0094167,           0.0030347,             0.88506,             0.91562,             0.94207,             0.67108,             0.02396,           0.0048086,           0.0022705,            0.009109,            0.009109,            0.009109
                  11,            0.027263,           0.0092043,           0.0031474,              0.9129,             0.88797,             0.94716,             0.67413,            0.024096,           0.0047324,           0.0023312,             0.00901,             0.00901,             0.00901
                  12,            0.027102,           0.0092344,           0.0031782,             0.91293,             0.88954,             0.93366,             0.67456,             0.02376,           0.0050522,           0.0020329,            0.008911,            0.008911,            0.008911
                  13,            0.026242,           0.0092263,           0.0027802,             0.92604,             0.90003,             0.95242,              0.7044,            0.022162,            0.004607,           0.0023243,            0.008812,            0.008812,            0.008812
                  14,            0.025588,           0.0090149,           0.0024213,             0.94415,              0.9021,             0.95242,             0.69862,            0.022839,           0.0047197,           0.0012985,            0.008713,            0.008713,            0.008713
                  15,            0.025237,           0.0087389,            0.002491,             0.92331,             0.89218,             0.93247,             0.69283,            0.021954,           0.0047059,           0.0031356,            0.008614,            0.008614,            0.008614
                  16,            0.025202,           0.0086867,           0.0023593,             0.92898,             0.90194,             0.95554,             0.72242,            0.021185,           0.0045132,            0.001703,            0.008515,            0.008515,            0.008515
                  17,            0.024877,           0.0087273,           0.0021524,             0.93921,             0.91974,             0.95446,             0.72933,            0.021024,           0.0044825,           0.0013498,            0.008416,            0.008416,            0.008416
                  18,            0.024581,            0.008636,           0.0021247,             0.93185,             0.93036,             0.95323,             0.69888,            0.021773,           0.0044533,           0.0024581,            0.008317,            0.008317,            0.008317
                  19,            0.024032,           0.0085656,           0.0020551,              0.9528,             0.91331,              0.9558,             0.71601,            0.021037,           0.0044426,           0.0013503,            0.008218,            0.008218,            0.008218
                  20,            0.023809,           0.0084252,            0.001803,             0.92663,             0.94959,             0.96292,             0.74299,             0.02051,           0.0043147,           0.0014363,            0.008119,            0.008119,            0.008119
                  21,            0.023705,           0.0084241,           0.0019948,             0.93822,             0.93377,             0.96158,             0.74473,            0.020163,           0.0042153,          0.00095684,             0.00802,             0.00802,             0.00802
                  22,            0.023384,           0.0081768,           0.0019984,             0.91521,             0.94232,             0.95482,             0.71182,            0.020882,           0.0043975,           0.0012628,            0.007921,            0.007921,            0.007921
                  23,            0.023123,           0.0083096,           0.0014514,             0.93468,             0.92548,             0.95586,             0.74502,            0.020226,           0.0042281,          0.00084307,            0.007822,            0.007822,            0.007822
                  24,            0.022695,           0.0081394,           0.0016263,              0.9313,             0.94348,             0.96053,               0.747,            0.020033,           0.0042474,           0.0010725,            0.007723,            0.007723,            0.007723
                  25,            0.022627,           0.0081006,           0.0023616,             0.92587,             0.91296,             0.95159,             0.72922,            0.020952,           0.0043845,           0.0014459,            0.007624,            0.007624,            0.007624
                  26,            0.022488,           0.0082083,           0.0017418,             0.95295,             0.94235,             0.96525,              0.7466,            0.020341,           0.0043215,           0.0009486,            0.007525,            0.007525,            0.007525
                  27,            0.022189,           0.0080218,            0.001616,             0.91804,             0.95835,             0.96358,             0.75127,             0.01971,           0.0042636,           0.0015258,            0.007426,            0.007426,            0.007426
                  28,            0.021836,           0.0079758,           0.0014257,              0.9484,             0.92156,             0.95905,             0.74315,            0.020044,           0.0043385,          0.00092392,            0.007327,            0.007327,            0.007327
                  29,            0.021998,           0.0078764,           0.0014762,             0.93807,             0.92966,             0.95531,             0.74267,            0.019805,           0.0042135,           0.0011214,            0.007228,            0.007228,            0.007228
                  30,            0.021461,           0.0078169,           0.0014388,              0.9579,             0.91584,             0.96427,             0.76314,            0.019455,           0.0040974,           0.0010653,            0.007129,            0.007129,            0.007129
                  31,            0.021473,           0.0075838,           0.0012644,             0.94955,             0.92452,             0.96374,             0.75249,            0.019855,           0.0041476,           0.0014566,             0.00703,             0.00703,             0.00703
                  32,            0.021548,           0.0076174,           0.0013041,              0.9479,             0.92788,             0.96388,             0.75582,            0.019654,           0.0041036,           0.0017132,            0.006931,            0.006931,            0.006931
                  33,            0.021189,           0.0076318,           0.0015492,             0.93159,             0.93733,             0.96117,             0.75575,            0.019301,           0.0041685,           0.0012805,            0.006832,            0.006832,            0.006832
                  34,            0.021125,            0.007712,           0.0012114,              0.9345,             0.94694,             0.96443,             0.75313,            0.019391,           0.0041647,           0.0010815,            0.006733,            0.006733,            0.006733
                  35,            0.020965,           0.0076714,           0.0013412,             0.93315,             0.94501,             0.96111,             0.75457,            0.019781,           0.0041541,          0.00082791,            0.006634,            0.006634,            0.006634
                  36,            0.020898,           0.0075036,           0.0012938,             0.94784,             0.93322,             0.96495,             0.75471,            0.019641,           0.0041438,           0.0010852,            0.006535,            0.006535,            0.006535
                  37,            0.020494,           0.0073985,            0.001242,             0.93637,              0.9479,             0.96241,             0.75295,            0.019645,           0.0041649,          0.00072819,            0.006436,            0.006436,            0.006436
                  38,            0.020432,           0.0074462,           0.0011754,             0.93357,             0.93754,             0.95882,             0.75452,            0.019581,           0.0042533,           0.0013253,            0.006337,            0.006337,            0.006337
                  39,            0.020431,           0.0075329,          0.00099624,             0.94728,             0.92557,             0.95762,             0.75837,            0.019585,           0.0041654,           0.0010449,            0.006238,            0.006238,            0.006238
                  40,             0.02047,           0.0074905,          0.00095999,             0.93681,             0.95323,             0.96988,             0.75683,             0.01939,            0.004079,           0.0010595,            0.006139,            0.006139,            0.006139
                  41,            0.020286,           0.0073618,           0.0010523,             0.93045,             0.94457,             0.95972,              0.7604,            0.019331,           0.0041825,           0.0013073,             0.00604,             0.00604,             0.00604
                  42,            0.019821,           0.0072974,          0.00099521,             0.93662,             0.93917,             0.95989,              0.7535,            0.019456,           0.0042208,          0.00068703,            0.005941,            0.005941,            0.005941
                  43,            0.019996,           0.0073309,           0.0010869,             0.92455,             0.95403,             0.96234,             0.75908,            0.018902,           0.0041226,          0.00078326,            0.005842,            0.005842,            0.005842
                  44,            0.019747,           0.0074647,           0.0011547,             0.93965,             0.93405,             0.96098,             0.75922,            0.019309,           0.0041429,          0.00087024,            0.005743,            0.005743,            0.005743
                  45,            0.019675,           0.0072284,           0.0010122,             0.94627,             0.93698,             0.96495,             0.76601,            0.019147,           0.0041926,           0.0009246,            0.005644,            0.005644,            0.005644
                  46,            0.019416,           0.0071396,           0.0010892,             0.93281,             0.95439,             0.96444,             0.76757,            0.019175,           0.0041014,          0.00084027,            0.005545,            0.005545,            0.005545
                  47,            0.019356,            0.007245,          0.00095407,             0.94349,             0.94282,             0.96405,             0.76133,            0.018895,           0.0040992,          0.00089184,            0.005446,            0.005446,            0.005446
                  48,            0.019176,           0.0071199,          0.00087357,             0.94146,             0.94452,             0.96426,             0.76561,            0.018739,           0.0040987,          0.00081104,            0.005347,            0.005347,            0.005347
                  49,            0.019154,            0.007037,           0.0008917,             0.94797,             0.94973,             0.96549,             0.76113,            0.019045,           0.0040689,          0.00076566,            0.005248,            0.005248,            0.005248
                  50,            0.019498,           0.0071857,          0.00099003,             0.94588,             0.94591,             0.96809,             0.77261,            0.018687,           0.0040328,          0.00081884,            0.005149,            0.005149,            0.005149
                  51,            0.018927,           0.0071098,          0.00058797,             0.94399,             0.94575,             0.96263,             0.76844,            0.018802,           0.0041111,          0.00079648,             0.00505,             0.00505,             0.00505
                  52,            0.018822,            0.007016,           0.0007479,             0.94873,             0.94298,             0.96469,             0.75907,            0.018944,           0.0040554,          0.00083916,            0.004951,            0.004951,            0.004951
                  53,            0.018758,           0.0070814,          0.00089862,             0.93966,             0.94158,             0.96252,             0.77253,            0.018507,           0.0040753,          0.00071819,            0.004852,            0.004852,            0.004852
                  54,            0.018989,            0.006872,          0.00083903,             0.92984,             0.95519,             0.96274,             0.77229,             0.01859,           0.0041322,          0.00092471,            0.004753,            0.004753,            0.004753
                  55,            0.018488,           0.0068493,           0.0007745,             0.95662,             0.93826,             0.96676,             0.76984,            0.018605,           0.0040782,          0.00080415,            0.004654,            0.004654,            0.004654
                  56,            0.018466,           0.0069279,          0.00078852,             0.95159,             0.92923,             0.96665,             0.77782,            0.018564,           0.0041068,          0.00069595,            0.004555,            0.004555,            0.004555
                  57,            0.018279,           0.0068905,          0.00068878,             0.93693,             0.95005,             0.96425,             0.77703,            0.018598,           0.0040693,          0.00084388,            0.004456,            0.004456,            0.004456
                  58,             0.01828,           0.0067653,          0.00074534,               0.959,             0.93733,             0.97057,             0.77625,            0.018588,           0.0040095,          0.00066663,            0.004357,            0.004357,            0.004357
                  59,             0.01816,            0.006805,          0.00089869,             0.94446,              0.9455,             0.96347,             0.77461,            0.018605,           0.0040908,          0.00079998,            0.004258,            0.004258,            0.004258
                  60,            0.018179,           0.0068162,           0.0007339,             0.95664,              0.9342,             0.96366,             0.76828,            0.018714,           0.0041011,          0.00072928,            0.004159,            0.004159,            0.004159
                  61,            0.017699,           0.0067819,          0.00057255,             0.94148,             0.93821,             0.96309,             0.76296,            0.018625,           0.0041773,          0.00073895,             0.00406,             0.00406,             0.00406
                  62,             0.01815,           0.0067682,          0.00067573,             0.94441,             0.94386,             0.96052,             0.76875,            0.018876,           0.0041349,          0.00073997,            0.003961,            0.003961,            0.003961
                  63,             0.01798,            0.006871,          0.00076427,             0.95768,             0.93067,             0.96183,             0.76766,            0.018798,           0.0041048,          0.00072633,            0.003862,            0.003862,            0.003862
                  64,            0.017554,           0.0066934,          0.00092093,             0.94861,             0.94161,             0.96209,             0.76836,            0.018662,           0.0041184,          0.00072413,            0.003763,            0.003763,            0.003763
                  65,            0.017797,           0.0068318,          0.00058871,             0.94215,             0.94586,             0.96067,             0.77235,            0.018679,            0.004131,          0.00069155,            0.003664,            0.003664,            0.003664
                  66,             0.01731,           0.0066279,          0.00055272,             0.94358,              0.9391,             0.95851,              0.7675,            0.018643,           0.0041616,           0.0007646,            0.003565,            0.003565,            0.003565
                  67,            0.017391,           0.0064454,          0.00047686,             0.93524,             0.93912,             0.96117,             0.77341,             0.01871,           0.0042034,          0.00074899,            0.003466,            0.003466,            0.003466
                  68,            0.017339,           0.0065877,          0.00067201,             0.93463,             0.94934,             0.96036,             0.76566,              0.0188,           0.0041618,          0.00081585,            0.003367,            0.003367,            0.003367
                  69,            0.017175,           0.0065522,           0.0005983,             0.95514,             0.92882,             0.96173,             0.77605,            0.018398,           0.0041981,          0.00070087,            0.003268,            0.003268,            0.003268
                  70,            0.017053,           0.0063363,          0.00053265,             0.95247,             0.93557,             0.96829,              0.7698,            0.018768,           0.0041786,          0.00066028,            0.003169,            0.003169,            0.003169
                  71,            0.017043,           0.0064778,          0.00058891,             0.94832,             0.93435,              0.9622,             0.78121,            0.018481,           0.0041181,           0.0006347,             0.00307,             0.00307,             0.00307
                  72,            0.016952,           0.0065603,          0.00056902,             0.94081,             0.94522,             0.96425,             0.77674,            0.018503,           0.0041983,          0.00063529,            0.002971,            0.002971,            0.002971
                  73,            0.016799,           0.0063467,          0.00044727,             0.93705,             0.94723,             0.96123,              0.7753,            0.018482,           0.0041955,          0.00059861,            0.002872,            0.002872,            0.002872
                  74,            0.016424,           0.0063711,          0.00057263,             0.93578,             0.95226,             0.96624,             0.78076,            0.018277,           0.0041318,          0.00057685,            0.002773,            0.002773,            0.002773
                  75,            0.016561,           0.0063745,          0.00060989,             0.94652,              0.9465,             0.96525,             0.77469,            0.018529,           0.0041214,          0.00057693,            0.002674,            0.002674,            0.002674
                  76,            0.016549,           0.0063572,          0.00053735,             0.93796,             0.94356,             0.96215,               0.777,            0.018586,            0.004133,          0.00058886,            0.002575,            0.002575,            0.002575
                  77,            0.016601,            0.006425,           0.0004115,             0.94057,             0.94815,             0.96752,             0.77918,             0.01845,           0.0041113,           0.0006014,            0.002476,            0.002476,            0.002476
                  78,            0.016221,           0.0062718,          0.00039806,              0.9458,             0.94355,             0.96219,             0.77694,            0.018332,            0.004194,          0.00060127,            0.002377,            0.002377,            0.002377
                  79,            0.016303,           0.0062646,          0.00045734,             0.96176,             0.92797,             0.96182,             0.78008,            0.018356,           0.0041863,          0.00062088,            0.002278,            0.002278,            0.002278
                  80,            0.016444,            0.006214,          0.00051446,             0.93867,             0.95129,             0.96465,             0.77761,            0.018272,           0.0041594,          0.00059547,            0.002179,            0.002179,            0.002179
                  81,            0.015978,           0.0063103,          0.00040775,             0.93321,             0.95415,             0.96225,              0.7757,            0.018329,           0.0041829,          0.00062589,             0.00208,             0.00208,             0.00208
                  82,            0.015954,           0.0061767,          0.00040844,             0.95296,             0.93649,             0.96635,             0.77859,            0.018334,           0.0041774,          0.00062942,            0.001981,            0.001981,            0.001981
                  83,            0.016041,           0.0061649,          0.00054837,             0.96195,             0.93133,             0.96571,             0.78033,            0.018457,           0.0042114,          0.00057055,            0.001882,            0.001882,            0.001882
                  84,            0.015811,           0.0062878,          0.00038157,             0.96196,             0.93086,             0.96501,             0.77934,            0.018475,           0.0042413,          0.00060747,            0.001783,            0.001783,            0.001783
                  85,            0.015723,           0.0061297,          0.00041538,              0.9542,             0.93055,             0.96107,             0.77485,            0.018697,           0.0042572,          0.00057534,            0.001684,            0.001684,            0.001684
                  86,            0.015718,           0.0061126,          0.00034132,             0.95852,             0.92993,             0.96128,             0.77955,            0.018383,           0.0042233,          0.00056736,            0.001585,            0.001585,            0.001585
                  87,            0.015703,           0.0060303,          0.00046438,             0.94446,             0.94355,              0.9649,             0.77688,             0.01856,           0.0042322,          0.00056832,            0.001486,            0.001486,            0.001486
                  88,            0.015518,           0.0061687,          0.00041156,             0.93942,             0.95058,             0.96479,             0.77837,              0.0185,           0.0042243,          0.00056847,            0.001387,            0.001387,            0.001387
                  89,            0.015282,           0.0060443,          0.00030003,             0.93681,             0.95226,             0.96488,             0.78053,            0.018542,           0.0042339,          0.00056966,            0.001288,            0.001288,            0.001288
                  90,            0.015346,            0.006097,          0.00040628,             0.94274,              0.9517,             0.96715,              0.7823,             0.01843,              0.0042,          0.00057732,            0.001189,            0.001189,            0.001189
                  91,            0.015349,           0.0061202,          0.00026821,             0.95106,             0.94027,             0.96643,             0.78208,            0.018306,           0.0042159,          0.00058128,             0.00109,             0.00109,             0.00109
                  92,            0.015156,           0.0059719,          0.00033863,             0.93692,             0.95068,              0.9632,             0.78203,            0.018321,           0.0041779,          0.00058056,            0.000991,            0.000991,            0.000991
                  93,            0.015187,           0.0060023,          0.00027621,             0.94277,             0.94924,             0.96204,             0.77955,            0.018423,           0.0042076,          0.00058466,            0.000892,            0.000892,            0.000892
                  94,            0.015047,           0.0059119,          0.00028502,             0.94005,             0.94976,             0.96413,             0.78042,            0.018345,           0.0042411,          0.00060297,            0.000793,            0.000793,            0.000793
                  95,            0.014887,           0.0059822,          0.00029806,             0.94148,             0.94794,             0.96439,             0.78362,             0.01836,             0.00422,          0.00058871,            0.000694,            0.000694,            0.000694
                  96,             0.01474,            0.005977,          0.00032083,             0.93938,             0.95104,             0.96421,             0.78269,             0.01844,           0.0042417,          0.00058714,            0.000595,            0.000595,            0.000595
                  97,            0.014739,           0.0058304,          0.00030925,              0.9401,             0.95009,             0.96354,              0.7812,            0.018517,           0.0042406,          0.00059639,            0.000496,            0.000496,            0.000496
                  98,            0.014758,           0.0060611,          0.00026871,             0.93368,             0.95823,             0.96245,             0.78066,            0.018456,           0.0042392,          0.00060321,            0.000397,            0.000397,            0.000397
                  99,            0.014703,           0.0058017,          0.00025297,             0.93629,             0.95931,             0.96202,             0.78095,            0.018402,           0.0042503,          0.00061355,            0.000298,            0.000298,            0.000298
